"This product isn't available in your country.","This product isn't available in your country.",
"Sorry, some of the products you have added to the cart aren't available in your country","Sorry, some of the products you have added to the cart aren't available in your country",
"Would you save the clicked element as the Add to cart button?","Would you save the clicked element as the Add to cart button?",
"Select your country","Select your country",
"Saving process failed","Saving process failed",
"Sorry, this product isn't available in your country","Sorry, this product isn't available in your country",
"Unauthorized access","Unauthorized access",
"Invalid Node Name","Invalid Node Name",
"Invalid Country Code","Invalid Country Code",
"Saved","Saved",
"Theme","Theme",
"Product","Product",
"Category","Category",
"Complete","Complete",
"Product Configuration Url","Product Configuration Url",
"Category Configuration Url","Category Configuration Url",
"Please, login as Administrator and retry","Please, login as Administrator and retry",
"Would you save the clicked element as the Add to cart button?","Would you save the clicked element as the Add to cart button?"
